"Batch Code","Result File Name","Transaction ID","Consumer Number","Settlement Ref","UTR Number","Result Status","Exception Code","Variance Amount",Remarks,"Business Date","Business Month"
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6301,CN7301,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6302,CN7302,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6303,CN7303,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6304,CN7304,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6305,CN7305,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6306,CN7306,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6307,CN7307,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6308,CN7308,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6309,CN7309,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6310,CN7310,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6311,CN7311,,,EXCEPTION,MISSING_IN_TARGET,0.00,"Matching record not found.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6312,CN7312,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6313,CN7313,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6314,CN7314,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6315,CN7315,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6316,CN7316,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6317,CN7317,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6318,CN7318,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6319,CN7319,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6320,CN7320,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6321,CN7321,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6322,CN7322,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6323,CN7323,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6324,CN7324,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6325,CN7325,,,EXCEPTION,RULE_FAILED,0.00,"Rule evaluation failed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6326,CN7326,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6327,CN7327,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6328,CN7328,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN9402,CN9402,,,EXCEPTION,MISSING_IN_TARGET,0.00,"Matching record not found.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6330,CN7330,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6331,CN7331,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6332,CN7332,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6333,CN7333,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6334,CN7334,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6335,CN7335,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6336,CN7336,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6337,CN7337,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6338,CN7338,,,EXCEPTION,AMOUNT_MISMATCH,0.00,"Amount mismatch detected.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6339,CN7339,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6340,CN7340,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6341,CN7341,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6342,CN7342,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6343,CN7343,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6344,CN7344,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
AGENCY_VS_BILLING_DAILY_20260709_131015_XINWD,Result_Agency_1_vs_Billing_UPPCL_daily_11072026.csv,TXN6345,CN7345,,,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
