"Batch Code","Result File Name","Transaction ID","Consumer Number","Settlement Ref","UTR Number","Result Status","Exception Code","Variance Amount",Remarks,"Business Date","Business Month"
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8501,CN8901,SETT2501,UTR2501,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8502,CN8902,SETT2502,UTR2502,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8503,CN8903,SETT2503,UTR2503,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8504,CN8904,SETT2504,UTR2504,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8505,CN8905,SETT2505,UTR2505,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8506,CN8906,SETT2506,UTR2506,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8507,CN8907,SETT2507,UTR2507,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8508,CN8908,SETT2508,UTR2508,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8509,CN8909,SETT2509,UTR2509,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260709_175633_EHBEU,Result_Bank_1_vs_PaymentGateway_1_daily_11072026.csv,TXN8510,CN8910,SETT2510,UTR2510,MATCHED,,0.00,"All configured rules passed.",2026-07-11,
